# X   ANN_y   Exact_y   ANN_dy   Exact_dy   ANN_d2y   Exact_d2y   ANN_Integral   Exact_Integral
0.658863 -0.428946 -0.428891 -1.86151 -1.86259 17.2508 17.2336 0.0774493 0.0774503
0.665552 -0.441011 -0.440964 -1.74576 -1.74695 17.3538 17.3381 0.0745393 0.0745407
0.672241 -0.452299 -0.452261 -1.62942 -1.6307 17.4275 17.4135 0.0715512 0.0715529
0.67893 -0.462808 -0.462778 -1.51268 -1.51405 17.4721 17.46 0.0684902 0.0684921
0.685619 -0.472535 -0.472515 -1.39574 -1.39719 17.488 17.4781 0.0653615 0.0653636
0.692308 -0.48148 -0.48147 -1.27879 -1.2803 17.4757 17.4682 0.0621704 0.0621726
0.698997 -0.489643 -0.489643 -1.16202 -1.16356 17.4356 17.4306 0.0589221 0.0589243
0.705686 -0.497026 -0.497037 -1.0456 -1.04717 17.3682 17.366 0.0556217 0.0556239
0.712375 -0.503633 -0.503653 -0.929725 -0.9313 17.2741 17.2747 0.0522746 0.0522767
0.719064 -0.509466 -0.509497 -0.814567 -0.816128 17.154 17.1576 0.0488859 0.0488878
0.725753 -0.514532 -0.514573 -0.700297 -0.701824 17.0084 17.015 0.0454607 0.0454624
0.732441 -0.518837 -0.518888 -0.587085 -0.588557 16.838 16.8478 0.0420042 0.0420056
0.73913 -0.522388 -0.52245 -0.475093 -0.476489 16.6437 16.6566 0.0385215 0.0385224
0.745819 -0.525196 -0.525266 -0.364479 -0.365779 16.4261 16.4421 0.0350174 0.035018
0.752508 -0.527268 -0.527346 -0.255396 -0.256578 16.186 16.2051 0.0314971 0.0314971
0.759197 -0.528616 -0.528702 -0.147991 -0.149036 15.9244 15.9465 0.0279653 0.0279648
0.765886 -0.529252 -0.529344 -0.0424067 -0.0432941 15.642 15.6669 0.0244269 0.0244258
0.772575 -0.529188 -0.529285 0.061222 0.0605106 15.3398 15.3674 0.0208866 0.0208848
0.779264 -0.528437 -0.528539 0.162765 0.162247 15.0186 15.0487 0.017349 0.0173466
